iter	Passed	Remaining
0	54	67068
1	104	63760
2	153	62280
3	208	63731
4	265	64747
5	387	78620
6	450	78396
7	525	79806
8	576	77800
9	622	75608
10	671	74032
11	719	72700
12	766	71397
13	817	70617
14	870	70198
15	923	69699
16	978	69504
17	1026	68771
18	1077	68337
19	1182	71174
20	1235	70786
21	1285	70217
22	1331	69526
23	1378	68928
24	1429	68551
25	1487	68519
26	1535	68091
27	1586	67770
28	1634	67336
29	1680	66897
30	1730	66604
31	1779	66288
32	1826	65916
33	1873	65563
34	1923	65334
35	1969	64982
36	2018	64750
37	2064	64433
38	2113	64215
39	2159	63925
40	2209	63738
41	2256	63514
42	2305	63319
43	2356	63210
44	2404	62989
45	2452	62811
46	2501	62655
47	2550	62499
48	2599	62325
49	2646	62134
50	2695	61999
51	2743	61829
52	2793	61712
53	2840	61552
54	2889	61425
55	2941	61351
56	2989	61214
57	3038	61082
58	3086	60936
59	3134	60804
60	3183	60691
61	3232	60577
62	3279	60443
63	3328	60333
64	3380	60268
65	3427	60138
66	3476	60035
67	3526	59951
68	3574	59831
69	3623	59736
70	3670	59604
71	3720	59520
72	3769	59428
73	3819	59363
74	3869	59276
75	3915	59149
76	3963	59035
77	4011	58944
78	4061	58859
79	4108	58749
80	4159	58689
81	4207	58598
82	4257	58533
83	4305	58435
84	4353	58338
85	4403	58266
86	4452	58190
87	4499	58090
88	4549	58018
89	4597	57930
90	4647	57864
91	4697	57803
92	4746	57729
93	4795	57644
94	4843	57566
95	4892	57489
96	4941	57413
97	4990	57338
98	5040	57276
99	5089	57202
100	5138	57130
101	5186	57049
102	5236	56994
103	5284	56907
104	5332	56832
105	5384	56793
106	5435	56742
107	5487	56701
108	5542	56699
109	5599	56707
110	5652	56679
111	5707	56662
112	5762	56656
113	5814	56612
114	5871	56623
115	5928	56625
116	5984	56621
117	6039	56609
118	6093	56584
119	6148	56565
120	6204	56561
121	6254	56493
122	6305	56438
123	6353	56360
124	6403	56296
125	6453	56241
126	6501	56162
127	6550	56088
128	6599	56021
129	6649	55961
130	6699	55897
131	6750	55845
132	6799	55776
133	6848	55711
134	6898	55645
135	6947	55580
136	6995	55504
137	7046	55452
138	7095	55385
139	7143	55313
140	7193	55254
141	7244	55204
142	7293	55138
143	7342	55068
144	7390	54994
145	7440	54940
146	7489	54874
147	7538	54809
148	7587	54743
149	7636	54680
150	7685	54616
151	7736	54561
152	7786	54502
153	7835	54440
154	7883	54367
155	7933	54315
156	7981	54240
157	8030	54178
