iter	Logloss
0	0.6874560093
1	0.6802586934
2	0.6748286825
3	0.6689971652
4	0.6629897007
5	0.6577868297
6	0.6516390334
7	0.6463532546
8	0.641919177
9	0.6363508034
10	0.6326567047
11	0.6285875094
12	0.6237246664
13	0.6196734301
14	0.6161309992
15	0.6130682031
16	0.609672446
17	0.6063785073
18	0.603514307
19	0.6002933066
20	0.5976424716
21	0.5952144427
22	0.5926275437
23	0.5905424293
24	0.5886408077
25	0.586645182
26	0.5849026192
27	0.5829668762
28	0.5813761071
29	0.5793090036
30	0.5775284504
31	0.5755421642
32	0.5742005301
33	0.5727987636
34	0.5712870717
35	0.5693247206
36	0.5676920096
37	0.5662311831
38	0.5645694805
39	0.5630332342
40	0.5615365535
41	0.5604912331
42	0.5596271186
43	0.5585614309
44	0.557298309
45	0.5559718664
46	0.5544734938
47	0.55352637
48	0.5524709391
49	0.551493637
50	0.550732683
51	0.549911414
52	0.5492530424
53	0.5483414607
54	0.5476405208
55	0.5468827739
56	0.5464137793
57	0.5455861418
58	0.5448387169
59	0.5439614678
60	0.5432640024
61	0.5427289363
62	0.5422829968
63	0.5416800572
64	0.5409853313
65	0.5403666361
66	0.5397812863
67	0.5392306286
68	0.5387775801
69	0.5382822501
70	0.5377885086
71	0.5374288552
72	0.5367730746
73	0.5363817006
74	0.5358117373
75	0.5353676444
76	0.5347562357
77	0.5344332275
78	0.5339148113
79	0.5334662831
80	0.5330664927
81	0.5326249363
82	0.5323335816
83	0.531730641
84	0.5314637814
85	0.531117477
86	0.5308325751
87	0.5305805008
88	0.5300396423
89	0.5299340194
90	0.5295242639
91	0.5292823792
92	0.5290444647
93	0.528707684
94	0.528303836
95	0.5279939517
96	0.527751525
97	0.5275655785
98	0.5272557786
99	0.5269271417
100	0.5267713814
101	0.5264173134
102	0.5262021893
103	0.5259248928
104	0.5254972837
105	0.5252464873
106	0.5248974981
107	0.5246503448
108	0.5242394991
109	0.5240272463
110	0.5236965773
111	0.5234548441
112	0.5234203149
113	0.523373019
114	0.5231062796
115	0.5228842179
116	0.5225865014
117	0.5224067761
118	0.5221062252
119	0.5218666464
120	0.5215120681
121	0.5212608507
122	0.5211408166
123	0.5210166241
124	0.5208195466
125	0.5206617014
126	0.5205555345
127	0.5202698251
128	0.5201663092
129	0.5199998768
130	0.5196597682
131	0.5195111808
132	0.5193383682
133	0.5191339486
134	0.5190991152
135	0.5189684876
136	0.5187312301
137	0.5185783535
138	0.5184152791
139	0.5182071054
140	0.5179994313
141	0.5177969825
142	0.5177298179
143	0.5174955163
144	0.517233063
145	0.517123712
146	0.5169984595
147	0.5168213346
148	0.516599148
149	0.5164723373
150	0.5163153904
151	0.5161287659
152	0.5159368718
153	0.5157355335
154	0.5155341345
155	0.5152846282
156	0.5152055507
157	0.5150628552
158	0.5149830762
159	0.5148917323
160	0.5147534641
161	0.5145490355
162	0.5143459716
163	0.5141876454
164	0.5139731247
165	0.5138518083
166	0.5136478481
167	0.5134432022
168	0.5132439765
169	0.5131658505
170	0.5130713415
171	0.5128633421
172	0.5127235211
173	0.5126423803
174	0.5125361997
175	0.512412566
176	0.5123016154
177	0.5122388356
178	0.5121377632
179	0.5119190095
180	0.5118369049
181	0.5116796982
182	0.511515604
183	0.511440831
184	0.511245288
185	0.5110888836
186	0.5109931583
