iter	Passed	Remaining
0	308	377802
1	593	362759
2	934	380271
3	1278	389800
4	1607	392019
5	1977	401405
6	2299	399802
7	2658	404085
8	3017	407305
9	3359	407800
10	3692	407189
11	4041	408222
12	4386	408580
13	4752	410754
14	5096	410776
15	5408	408358
16	5796	411539
17	6128	410584
18	6419	407122
19	6740	405804
20	7126	408269
21	7413	405041
22	7752	404817
23	8042	402144
24	8358	400870
25	8769	404053
26	9184	407174
27	9632	411433
28	10065	414761
29	10521	418774
30	10981	422607
31	11419	425374
32	11860	428039
33	12252	428845
34	12687	431027
35	13104	432450
36	13473	432243
37	13804	430854
38	14185	431035
39	14514	429640
40	14861	428809
41	15268	429698
42	15581	427941
43	15993	428923
44	16323	427684
45	16640	426131
46	16999	425707
47	17350	425091
48	17702	424506
49	17986	422333
50	18328	421565
51	18682	421084
52	19042	420722
53	19366	419617
54	19665	417976
55	19998	417111
56	20336	416368
57	20613	414392
58	20930	413296
59	21271	412676
60	21584	411522
61	21924	410901
62	22213	409363
63	22488	407604
64	22779	406174
65	23135	405916
66	23449	404947
67	23724	403324
68	24036	402358
69	24353	401490
70	24720	401447
71	25133	402131
72	25536	402636
73	25927	402932
74	26358	403808
75	26760	404224
76	27152	404460
77	27533	404536
78	27943	405007
79	28275	404332
80	28582	403331
81	28852	401824
82	29226	401775
83	29595	401656
84	29864	400184
85	30175	399305
86	30508	398719
87	30772	397239
88	31075	396295
89	31379	395387
90	31735	395128
91	32107	395064
92	32411	394168
93	32699	393093
94	33066	392972
95	33342	391769
96	33653	391009
97	34033	391036
98	34336	390187
99	34635	389305
100	34948	388583
101	35258	387843
102	35534	386736
103	35873	386328
104	36196	385755
105	36502	384998
106	36815	384324
107	37176	384159
108	37532	383937
109	37846	383281
110	38167	382709
111	38438	381636
112	38773	381211
113	39039	380123
114	39370	379672
115	39651	378742
116	39955	378037
117	40245	377216
118	40654	377506
119	41049	377655
120	41474	378071
121	41912	378582
122	42395	379490
123	42790	379596
124	43242	380190
125	43665	380514
126	44068	380654
127	44495	380989
128	44820	380451
129	45184	380246
130	45480	379464
131	45818	379040
132	46087	378058
133	46399	377426
134	46782	377380
135	47066	376529
136	47377	375910
137	47696	375346
138	48020	374837
139	48299	373977
140	48646	373644
141	48962	373078
142	49245	372267
143	49533	371498
144	49852	370968
145	50129	370137
146	50430	369481
147	50765	369076
148	51057	368367
149	51325	367491
150	51686	367281
151	52000	366742
152	52303	366126
153	52651	365821
154	52937	365097
155	53233	364446
156	53540	363870
157	53785	362884
158	54102	362382
159	54403	361781
160	54681	361033
161	55022	360702
162	55361	360360
163	55692	359964
164	56023	359570
165	56302	358841
166	56657	358605
167	57089	358850
168	57497	358932
169	57891	358929
170	58336	359228
171	58716	359128
172	59137	359269
173	59544	359322
174	59945	359329
175	60356	359395
176	60677	358921
177	61053	358774
178	61452	358759
179	61859	358782
180	62372	359416
181	62928	360285
182	63508	361269
183	64043	361985
184	64432	361864
185	64831	361801
186	65183	361472
187	65505	360979
188	65873	360738
189	66231	360437
190	66574	360062
191	66921	359703
192	67265	359332
193	67701	359447
194	68026	358971
195	68354	358512
196	68669	357988
197	69048	357796
198	69366	357287
199	69666	356692
200	69944	355984
201	70260	355478
202	70641	355296
203	70996	354980
204	71369	354756
205	71713	354391
206	72048	353979
207	72408	353686
208	72859	353839
209	73296	353918
210	73740	354025
211	74235	354367
212	74761	354851
213	75258	355191
214	75727	355389
215	76250	355833
216	76674	355813
217	77108	355832
218	77597	356097
219	78023	356071
220	78347	355576
221	78690	355170
222	79070	354930
223	79414	354529
224	79754	354109
225	80124	353824
226	80489	353514
227	80855	353212
228	81188	352763
229	81546	352420
230	81877	351965
231	82187	351422
232	82511	350940
233	82878	350640
234	83203	350163
235	83537	349723
236	83834	349134
237	84212	348879
238	84574	348561
